"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C30","0603","-17.8346mm","16.4728mm","-17.8346mm","16.4728mm","-17.8346mm","17.1978mm","T","270.00","100n"
"C29","0603","-16.7099mm","14.2058mm","-16.7099mm","14.2058mm","-16.7099mm","14.9308mm","T","270.00","47p"
"J6","68715014522","-49.8405mm","50.609mm","-50.2256mm","50mm","-62.0904mm","49.619mm","B","0.00","68715014522"
"J1","WE_685119136923","-67.824mm","4.901mm","-67.824mm","4.076mm","-64.224mm","7.676mm","T","0.00","685119136923"
"J5","CON-Molex-047346-0001","-86.4256mm","3.233mm","-86.4256mm","3.3mm","-85.1256mm","4.563mm","B","90.00","Molex 47346-0001"
"C1","0402","-71.532mm","21.7mm","-71.532mm","21.7mm","-71.107mm","21.7mm","T","180.00","4u7"
"C2","0402","-71.5205mm","22.7685mm","-71.5205mm","22.7685mm","-71.0955mm","22.7685mm","T","180.00","4u7"
"C3","0402","-28.832mm","12.2mm","-28.832mm","12.2mm","-28.407mm","12.2mm","T","180.00","4u7"
"C4","0402","-28.832mm","13mm","-28.832mm","13mm","-28.407mm","13mm","T","180.00","4u7"
"C5","0603","-47.3701mm","12.4438mm","-47.3701mm","12.4438mm","-47.3701mm","11.7188mm","T","90.00","100n"
"C6","0402","-37.332mm","20.4mm","-37.332mm","20.4mm","-37.332mm","20.825mm","T","270.00","100n"
"C7","0402","-36.432mm","20.4mm","-36.432mm","20.4mm","-36.432mm","20.825mm","T","270.00","100n"
"C8","0402","-35.332mm","20.4mm","-35.332mm","20.4mm","-35.332mm","20.825mm","T","270.00","100n"
"C9","0402","-63.3904mm","30.5073mm","-63.3904mm","30.5073mm","-63.3904mm","30.0823mm","T","90.00","100n"
"C10","1206","-80.7256mm","40.4mm","-80.7256mm","40.4mm","-82.1006mm","40.4mm","T","360.00","100u"
"C11","1206","-75.8256mm","40.4mm","-75.8256mm","40.4mm","-74.4506mm","40.4mm","T","180.00","100u"
"C12","0402","-34.432mm","20.4mm","-34.432mm","20.4mm","-34.432mm","20.825mm","T","270.00","100n"
"C14","0603","-80.2256mm","11.4mm","-80.2256mm","11.4mm","-80.2256mm","10.675mm","T","90.00","100p"
"C15","0603","-16.707mm","11.5692mm","-16.707mm","11.5692mm","-16.707mm","10.8442mm","T","90.00","47p"
"C26","0603","-60.594mm","4.2618mm","-60.594mm","4.2618mm","-60.594mm","3.5368mm","T","90.00","100n"
"C27","0603","-62.5845mm","9.9324mm","-62.5845mm","9.9324mm","-62.5845mm","9.2074mm","T","90.00","100n"
"C39","0402","-41.132mm","20.4mm","-41.132mm","20.4mm","-41.132mm","20.825mm","T","270.00","100n"
"C40","0402","-40.332mm","20.4mm","-40.332mm","20.4mm","-40.332mm","20.825mm","T","270.00","100n"
"C41","0402","-44.7267mm","31.3204mm","-44.7267mm","31.3204mm","-45.1517mm","31.3204mm","T","360.00","47n"
"C42","0402","-39.232mm","20.4mm","-39.232mm","20.4mm","-39.232mm","20.825mm","T","270.00","100n"
"C43","0402","-38.432mm","20.4mm","-38.432mm","20.4mm","-38.432mm","20.825mm","T","270.00","100n"
"C44","0402","-30.6146mm","21.0363mm","-30.6146mm","21.0363mm","-30.6146mm","21.4613mm","T","270.00","100n"
"C45","0402","-31.5146mm","21.0363mm","-31.5146mm","21.0363mm","-31.5146mm","21.4613mm","T","270.00","100n"
"C73","0402","-63.732mm","18.3mm","-63.732mm","18.3mm","-63.732mm","18.725mm","T","270.00","100n"
"C74","0402","-64.6892mm","18.3mm","-64.6892mm","18.3mm","-64.6892mm","18.725mm","T","270.00","100n"
"C75","0402","-65.6463mm","18.3mm","-65.6463mm","18.3mm","-65.6463mm","18.725mm","T","270.00","100n"
"C76","0402","-67.5606mm","18.3mm","-67.5606mm","18.3mm","-67.5606mm","18.725mm","T","270.00","100n"
"C77","0402","-66.6034mm","18.3mm","-66.6034mm","18.3mm","-66.6034mm","18.725mm","T","270.00","100n"
"C78","0402","-69.4749mm","18.3mm","-69.4749mm","18.3mm","-69.4749mm","18.725mm","T","270.00","100n"
"C79","0402","-68.5177mm","18.3mm","-68.5177mm","18.3mm","-68.5177mm","18.725mm","T","270.00","100n"
"C80","0402","-70.432mm","18.3mm","-70.432mm","18.3mm","-70.432mm","18.725mm","T","270.00","100n"
"D2","SOD-323","-30.932mm","12mm","-30.932mm","12mm","-30.932mm","13.055mm","T","180.00","1N4148WS"
"D4","SOD-323","-74.332mm","11.5mm","-74.332mm","11.5mm","-75.387mm","11.5mm","T","270.00","1N4148WS"
"IC1","VQFN-24","-59.3904mm","31.2073mm","-59.3904mm","31.2073mm","-60.6404mm","29.3073mm","T","180.00","TCA9548ARGER"
"IC2","SON-15","-37.632mm","16.5mm","-37.632mm","16.5mm","-40.382mm","15.575mm","T","180.00","TPD8S009"
"IC4","SC70-5","-74.6826mm","27.1409mm","-74.0326mm","28.2409mm","-74.0326mm","28.2409mm","T","270.00","TLV70018DCKT"
"IC18","SON-15","-67.032mm","14.6mm","-67.032mm","14.6mm","-64.282mm","15.525mm","T","360.00","TPD8S009"
"J11","WE_632723300011","-52.7241mm","7.671mm","-52.724mm","5.876mm","-55.4741mm","11.511mm","T","0.00","632723300011"
"L3","0805","-21.4322mm","16.7952mm","-20.4162mm","16.7952mm","-20.4162mm","16.7952mm","T","180.00","742792022"
"R1","0402","-63.932mm","10.8mm","-63.932mm","10.8mm","-63.932mm","11.28mm","T","270.00","5R6"
"R2","0402","-64.832mm","10.8mm","-64.832mm","10.8mm","-64.832mm","11.28mm","T","270.00","5R6"
"R3","0402","-65.732mm","10.8mm","-65.732mm","10.8mm","-65.732mm","11.28mm","T","270.00","5R6"
"R4","0402","-66.632mm","10.8mm","-66.632mm","10.8mm","-66.632mm","11.28mm","T","270.00","5R6"
"R5","0603","-61.8308mm","12.2662mm","-61.8308mm","12.2662mm","-61.1323mm","12.2662mm","T","180.00","10k"
"R6","0603","-58.9444mm","12.2618mm","-58.9444mm","12.2618mm","-58.2459mm","12.2618mm","T","180.00","10k"
"R7","0402","-67.532mm","10.8mm","-67.532mm","10.8mm","-67.532mm","11.28mm","T","270.00","5R6"
"R8","0402","-68.432mm","10.8mm","-68.432mm","10.8mm","-68.432mm","11.28mm","T","270.00","5R6"
"R9","0402","-69.332mm","10.8mm","-69.332mm","10.8mm","-69.332mm","11.28mm","T","270.00","5R6"
"R10","0402","-70.232mm","10.8mm","-70.232mm","10.8mm","-70.232mm","11.28mm","T","270.00","5R6"
"R11","0603","-75.932mm","17.3mm","-75.932mm","17.3mm","-75.2335mm","17.3mm","T","180.00","10k"
"R12","0402","-68.0337mm","4.6247mm","-68.0337mm","4.6247mm","-68.0337mm","4.1447mm","B","90.00","0R"
"R13","0402","-61.6904mm","27.2073mm","-61.6904mm","27.2073mm","-61.6904mm","26.7273mm","T","90.00","0R"
"R14","0402","-28.0289mm","7.4101mm","-28.0289mm","7.4101mm","-28.5089mm","7.4101mm","T","360.00","470R"
"R15","0402","-60.6904mm","27.2073mm","-60.6904mm","27.2073mm","-60.6904mm","26.7273mm","T","90.00","0R"
