"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C77","0402","1109.551mil","-500.154mil","1109.551mil","-500.154mil","1109.551mil","-481.256mil","T","270.00","100n"
"C78","0402","993.618mil","-500.154mil","993.618mil","-500.154mil","993.618mil","-481.256mil","T","270.00","100n"
"C79","0402","1033.595mil","-500.154mil","1033.595mil","-500.154mil","1033.595mil","-481.256mil","T","270.00","100n"
"C70","0402","3391.614mil","-279.668mil","3391.614mil","-279.668mil","3372.717mil","-279.668mil","B","360.00","100n"
"C69","0402","3391.614mil","-245.281mil","3391.614mil","-245.281mil","3372.717mil","-245.281mil","B","360.00","100n"
"C68","0402","3391.614mil","-164.735mil","3391.614mil","-164.735mil","3372.717mil","-164.735mil","B","360.00","100n"
"C52","0402","3391.614mil","-130.347mil","3391.614mil","-130.347mil","3372.717mil","-130.347mil","B","360.00","100n"
"C51","0402","3391.614mil","-44.015mil","3391.614mil","-44.015mil","3372.717mil","-44.015mil","B","360.00","100n"
"C49","0402","3391.614mil","-9.628mil","3391.614mil","-9.628mil","3372.717mil","-9.628mil","B","360.00","100n"
"C38","0402","3391.614mil","74.863mil","3391.614mil","74.863mil","3372.717mil","74.863mil","B","360.00","100n"
"C37","0402","3391.614mil","108.976mil","3391.614mil","108.976mil","3372.717mil","108.976mil","B","360.00","100n"
"L5","IHLP-1212AE","2981.329mil","-615.998mil","2981.329mil","-615.998mil","2981.329mil","-658.498mil","T","90.00","IHLP1212AEERR47M11"
"USR","TL3340AF160QG","3619.715mil","316.143mil","3622.667mil","316.143mil","3575.423mil","267.915mil","T","270.00","TL3340AF160QG"
"BAT1","MS621FE-FL11E","507.329mil","-38.998mil","507.329mil","-38.998mil","507.329mil","-68.526mil","T","180.00","MS621FE-FL11E"
"J1","WE_685119136923","1061.092mil","-1027.045mil","1061.092mil","-1059.525mil","1202.825mil","-917.793mil","T","0.00","685119136923"
"C71","0402","2235.329mil","-120.998mil","2235.329mil","-120.998mil","2235.329mil","-139.896mil","T","90.00","100n"
"M1","jetson-nano-connector","1900.344mil","518.191mil","3151.329mil","-979.841mil","3213.337mil","835.12mil","T","180.00","2309413-1"
"R131","0402","1471.193mil","-643.427mil","1471.193mil","-643.427mil","1471.193mil","-624.529mil","T","270.00","10k"
"J8","MDT580M01001","3142.638mil","-6.417mil","3142.638mil","-6.417mil","3291.26mil","-370.591mil","B","90.00","MDT580M01001"
"SP7","M2.5-4mm","0mil","0mil","0mil","0mil","0mil","0mil","B","180.00","9774040151"
"J10","WE_68711014522_MFG","775.984mil","759.842mil","775.984mil","822.835mil","687.402mil","722.441mil","B","360.00","68711014522"
"T6","SC70-3","690.593mil","-208.694mil","690.594mil","-208.694mil","665.003mil","-246.095mil","T","90.00","BSS138PW,115"

